PM2.5,PM10,So2,No2,Co,O3
23,31,8,8,0.61,103
18,24,4,8,0.58,77
20,28,6,8,0.59,95
14,21,8,8,0.54,70
19,29,15,14,0.61,69
20,31,7,14,0.68,77
19,27,9,12,0.70,68
21,32,13,15,0.77,65
21,31,8,11,0.61,83
37,57,18,15,0.71,121
30,45,8,10,0.58,81
22,32,8,7,0.57,86
12,18,6,10,0.58,60
6,9,6,6,0.46,51
8,13,7,7,0.43,51
5,11,4,5,0.42,43
8,14,3,5,0.40,48
11,17,4,6,0.44,55
12,21,9,7,0.43,80
19,35,9,7,0.45,74
13,23,12,10,0.47,87
21,35,8,10,0.56,76
11,15,4,10,0.71,50
7,9,5,10,0.74,57
25,32,5,14,0.68,44
23,33,16,15,0.59,48
16,24,8,12,0.50,47
23,32,8,8,0.51,51
6,10,8,5,0.46,54
3,6,7,8,0.50,39
3,6,2,5,0.36,35
7,11,3,5,0.39,42
13,21,12,7,0.52,58
18,26,18,12,0.54,57
25,37,18,15,0.58,45
19,27,8,7,0.46,56
23,30,3,5,0.50,56
6,10,5,6,0.61,54
28,38,7,8,0.76,49
8,13,7,7,0.62,47
16,22,14,10,0.62,49
18,31,16,9,0.55,79
22,42,12,8,0.49,87
53,82,18,15,0.66,63
31,44,12,12,0.54,41
21,26,9,10,0.50,47
46,60,18,16,0.60,50
60,80,21,18,0.70,55
66,88,19,22,0.80,46
44,56,12,15,0.73,64
4,6,9,9,0.58,62
31,42,15,13,0.55,84
48,73,29,24,0.68,74
27,44,17,14,0.45,80
14,19,8,10,0.48,59
13,18,11,12,0.57,46
14,19,13,12,0.55,49
31,43,15,21,0.61,40
38,54,19,17,0.53,53
19,23,10,9,0.46,53
10,15,8,10,0.44,38
9,14,4,5,0.37,50
16,24,7,7,0.52,43
22,30,11,13,0.67,33
28,35,13,13,0.63,37
10,13,14,8,0.54,29
11,16,9,8,0.51,33
17,25,12,9,0.57,60
44,64,20,20,0.68,44
31,46,18,14,0.51,55
27,39,23,16,0.55,38
20,29,19,14,0.47,56
22,34,27,17,0.41,71
42,66,41,29,0.53,64
32,51,31,24,0.45,87
30,47,20,21,0.45,80
54,76,24,19,0.54,82
55,69,15,18,0.69,45
10,15,10,12,0.44,42
7,11,11,12,0.40,37
10,14,19,14,0.45,56
15,23,13,12,0.44,54
19,27,8,8,0.40,54
29,41,14,12,0.52,43
31,44,14,17,0.48,50
13,17,14,15,0.58,19
22,28,17,14,0.71,11
22,29,15,18,0.70,23
23,28,11,18,0.79,15
15,20,14,19,0.80,16
6,11,15,13,0.63,29
21,29,21,18,0.79,16
12,15,20,17,0.89,6
10,14,14,11,0.58,43
20,28,24,15,0.58,49
37,55,28,17,0.60,48
23,31,16,16,0.61,35
33,45,46,27,0.72,52
51,68,67,32,1.10,49
43,59,40,26,0.74,53
74,94,48,26,0.90,48
28,40,12,11,0.45,75
45,58,20,12,0.55,67
31,41,17,13,0.60,59
19,26,9,7,0.37,69
12,20,10,8,0.33,70
51,67,14,17,0.76,40
22,35,14,13,0.72,40
24,31,12,18,0.81,15
11,14,15,17,0.54,14
20,23,21,19,0.61,7
13,15,32,17,0.71,6
9,12,25,17,0.68,9
20,24,18,13,0.49,35
23,29,27,16,0.49,38
55,71,35,28,0.73,26
50,64,29,29,0.82,13
20,24,20,16,0.80,19
21,30,39,25,0.85,38
40,56,66,34,0.87,41
37,53,45,27,0.85,46
35,48,24,19,0.76,42
38,47,38,26,1.02,21
36,46,27,19,0.80,30
21,24,16,16,0.89,16
10,12,21,14,0.63,19
24,30,34,13,0.84,35
50,58,42,21,1.01,26
