PM2.5,PM10,So2,No2,Co,O3
12,28,3,4,0.24,60
11,28,3,7,0.21,51
14,38,3,9,0.21,58
12,29,2,9,0.20,62
13,33,3,8,0.22,78
26,49,3,5,0.37,77
14,28,4,15,0.30,77
12,24,3,16,0.36,44
7,27,8,11,0.37,69
13,15,5,2,0.29,73
14,25,5,10,0.38,68
22,28,5,9,0.37,53
19,37,4,15,0.43,44
18,19,3,3,0.36,71
13,15,4,6,0.34,48
13,15,4,2,0.31,46
13,16,4,6,0.33,36
15,24,3,9,0.33,44
16,26,4,9,0.29,46
17,25,4,11,0.37,40
18,32,4,14,0.31,42
18,44,5,8,0.33,73
39,54,5,7,0.60,111
25,29,4,14,0.39,71
32,45,5,13,0.46,67
30,43,3,13,0.61,64
16,18,3,3,0.29,59
11,27,5,3,0.25,60
16,22,3,9,0.33,52
17,34,5,15,0.39,50
18,37,3,15,0.36,54
33,59,4,7,0.64,97
18,37,4,10,0.36,41
14,24,4,6,0.30,34
15,19,4,8,0.33,31
15,22,4,8,0.38,41
19,35,4,17,0.50,42
28,54,5,29,0.54,41
21,46,4,13,0.39,71
27,42,4,6,0.59,75
22,31,5,7,0.44,45
18,24,6,13,0.42,39
18,34,7,12,0.32,47
21,41,8,18,0.39,42
19,40,7,15,0.43,49
22,49,9,14,0.39,69
36,69,8,14,0.62,92
10,35,7,9,0.27,46
13,42,6,8,0.27,39
11,24,6,5,0.33,33
13,27,7,12,0.41,28
12,25,7,10,0.32,36
16,37,7,22,0.56,37
16,40,8,17,0.36,44
17,52,10,18,0.41,53
18,41,6,17,0.45,44
14,30,4,16,0.46,37
17,38,5,21,0.52,31
24,52,8,29,0.63,26
26,55,9,32,0.66,34
29,64,8,26,0.57,42
32,71,10,36,1.03,32
45,88,11,26,0.86,61
70,136,10,20,1.08,74
24,62,9,19,0.61,39
26,50,8,27,0.74,37
30,77,9,26,0.65,44
14,45,8,9,0.42,38
8,18,7,4,0.46,51
10,18,6,6,0.70,44
13,19,8,9,0.75,38
17,29,8,12,0.81,42
22,44,8,15,0.83,35
24,45,9,22,0.85,39
29,56,10,19,0.93,46
55,84,10,16,1.15,52
14,23,10,12,0.80,37
26,48,9,17,0.88,28
20,52,9,20,0.88,34
17,38,8,14,0.82,36
39,62,12,26,1.05,26
58,82,12,25,1.03,34
30,42,11,24,0.80,32
29,42,10,27,0.52,24
41,63,10,35,0.64,22
39,59,11,29,0.69,31
58,80,10,20,0.82,37
21,33,9,10,0.47,52
10,26,8,9,0.39,47
22,44,11,21,0.57,35
41,72,11,32,0.78,23
29,41,10,21,0.57,36
20,34,9,16,0.51,40
16,32,8,12,0.47,40
19,31,9,15,0.55,43
17,35,9,15,0.53,41
22,42,11,21,0.59,34
19,41,9,15,0.62,41
29,161,10,13,0.66,53
14,68,8,13,0.53,54
17,25,8,8,0.53,47
22,35,9,14,0.62,38
21,45,9,12,0.62,41
20,41,10,14,0.80,25
46,100,11,17,1.05,24
32,135,7,7,0.56,36
17,28,8,9,0.64,45
26,35,12,16,0.75,41
17,24,9,8,0.72,53
16,28,11,7,0.67,52
16,25,10,8,0.64,60
27,43,12,29,0.80,38
56,90,22,37,1.24,31
60,102,20,39,1.38,27
143,180,15,38,1.46,33
82,126,15,25,1.20,51
118,88,15,29,1.03,38
104,84,19,23,0.99,43
50,58,18,18,0.76,47
16,46,13,6,0.55,65
18,17,10,8,0.55,57
27,41,15,21,0.81,47
38,60,14,25,0.97,38
52,82,18,30,1.28,31
16,26,8,7,0.24,64
21,32,8,13,0.26,62
31,47,12,26,0.46,50
41,55,12,25,0.48,49
