PM2.5,PM10,So2,No2,Co,O3
26,44,18,18,0.99,52
24,40,12,15,0.87,47
27,46,12,15,0.84,72
35,59,14,21,0.93,68
45,71,13,21,0.97,96
45,65,7,19,0.93,89
54,80,11,24,1.04,88
57,86,11,34,1.36,82
47,67,10,19,1.01,110
53,68,12,10,0.97,100
28,41,16,18,1.20,58
21,31,6,10,0.90,65
11,22,5,14,0.78,29
13,24,4,9,0.68,45
16,29,4,11,0.69,59
22,42,5,18,0.79,42
27,46,6,19,0.81,53
33,56,8,23,0.87,57
24,39,10,19,1.03,46
23,41,17,13,0.84,79
29,53,23,20,0.88,75
52,76,21,25,0.97,74
48,70,17,19,0.86,102
57,80,17,17,0.87,102
53,76,19,19,0.87,80
47,68,13,20,0.95,58
49,68,20,16,1.02,60
43,65,23,16,1.23,69
13,17,8,8,0.77,49
12,24,7,14,0.77,31
18,35,9,17,0.83,32
26,51,7,20,0.83,42
33,64,9,28,0.87,56
45,76,14,24,0.99,56
51,74,17,18,1.20,68
43,58,8,11,0.97,68
32,48,8,13,0.84,61
23,40,5,14,0.71,56
12,19,16,16,1.02,32
15,27,15,12,0.82,48
27,45,18,13,0.82,62
36,64,19,22,0.86,69
34,65,16,17,0.75,99
23,44,14,14,0.63,96
30,57,16,18,0.69,95
36,62,27,18,0.74,91
34,58,24,19,0.69,94
47,83,20,27,0.80,97
68,116,26,42,1.12,93
69,118,19,42,1.06,85
57,90,20,40,1.08,47
34,44,20,20,1.06,70
52,72,16,17,0.97,59
47,75,17,25,0.91,76
43,61,11,21,0.85,58
18,24,9,15,0.91,35
13,22,15,16,0.96,33
18,30,13,13,0.76,48
28,40,12,14,0.81,45
26,40,10,13,0.81,55
28,38,7,14,0.84,47
25,36,5,16,0.94,39
19,26,8,21,1.04,14
14,22,17,17,0.97,21
17,22,8,16,0.90,35
13,19,6,14,0.83,36
46,75,13,31,1.28,17
35,47,19,21,1.20,17
31,58,15,20,0.80,57
37,76,26,30,0.94,48
50,99,29,33,1.17,37
43,83,21,26,0.87,54
28,60,22,22,0.72,74
34,74,25,27,0.78,77
43,89,27,35,0.86,80
67,117,23,45,1.06,71
73,113,18,42,1.17,62
72,111,13,45,1.14,43
68,99,20,39,1.19,35
16,26,21,16,1.05,23
10,25,16,18,0.79,39
31,60,20,35,0.96,35
58,105,22,47,1.31,35
52,75,10,36,0.97,25
13,23,19,15,0.93,18
18,30,19,17,0.83,27
38,56,17,25,1.05,18
20,28,14,19,1.19,11
11,19,12,15,1.03,22
15,22,12,17,0.99,21
11,18,13,14,1.02,18
15,26,18,15,0.91,22
17,26,13,17,0.91,16
12,20,19,15,0.90,21
34,50,22,17,0.92,51
56,90,20,38,1.12,54
73,116,26,44,1.31,25
46,70,25,24,1.11,41
49,85,21,34,1.17,39
66,110,23,40,1.35,37
60,109,25,43,1.21,39
64,112,18,46,1.25,38
80,128,21,47,1.22,22
73,97,17,34,1.07,18
36,52,7,27,0.95,28
22,41,5,15,0.63,45
20,40,9,18,0.86,31
30,53,19,26,1.63,23
23,41,21,19,1.37,10
13,23,20,15,1.02,16
13,18,17,16,1.24,13
10,14,14,15,1.09,14
13,18,17,13,1.07,13
15,20,16,12,1.08,19
46,53,20,17,1.00,33
53,65,12,17,0.88,40
40,53,14,18,0.74,38
41,54,18,20,0.97,26
40,58,23,27,1.10,38
58,101,22,39,1.19,45
62,106,18,46,1.17,40
90,159,21,71,1.49,10
107,145,17,45,1.69,9
34,52,8,25,1.15,13
19,31,25,22,1.37,12
25,34,23,20,1.15,15
26,31,20,21,1.13,27
32,39,20,16,1.04,38
