PM2.5,PM10,So2,No2,Co,O3
15,30,7,19,1.09,71
17,32,6,22,1.11,64
18,36,8,20,1.06,56
17,34,8,20,0.98,58
20,38,8,17,0.91,57
18,35,9,14,0.92,67
16,36,9,16,0.96,71
21,43,8,18,0.94,83
24,42,8,23,1.13,58
27,50,7,12,1.03,98
23,32,7,18,1.27,89
10,14,6,17,0.98,55
17,31,6,26,1.29,23
16,29,5,11,0.77,44
13,30,5,13,0.83,45
22,40,7,15,0.90,63
29,50,7,26,1.14,59
35,58,8,22,1.10,65
31,48,8,15,0.88,62
19,33,6,14,0.85,66
13,26,7,17,0.91,55
18,37,8,15,0.87,77
30,56,9,22,0.93,66
19,23,7,22,0.90,41
21,37,9,15,0.86,71
24,49,9,16,0.86,69
20,43,8,19,0.79,34
10,31,5,3,0.67,35
13,29,7,11,0.99,31
14,35,9,13,0.81,35
27,49,13,18,0.89,59
29,48,12,15,0.81,73
27,48,10,18,0.83,57
20,39,10,16,0.80,47
19,34,11,18,0.80,36
16,28,8,11,0.81,65
16,34,7,10,0.80,85
32,63,10,19,0.95,104
30,60,10,19,0.87,109
37,61,10,21,0.86,72
29,45,8,16,0.73,82
33,54,9,18,0.77,118
35,61,11,18,0.79,129
40,69,11,19,0.84,127
33,66,12,20,0.82,126
41,70,12,25,0.91,100
33,58,10,21,0.77,117
35,58,11,21,0.77,116
44,71,12,22,0.85,124
39,63,12,18,0.81,130
37,63,11,17,0.83,112
49,71,12,26,0.94,71
21,29,8,20,1.03,44
18,36,9,20,0.83,69
28,49,13,22,0.73,86
28,50,13,21,0.79,86
34,50,11,20,0.88,73
28,42,11,22,1.04,38
18,25,9,23,1.10,25
28,43,12,24,1.01,73
35,58,12,24,0.94,89
29,47,11,19,0.80,96
34,53,13,21,0.78,88
44,65,15,25,0.96,85
30,47,12,23,1.06,56
31,49,12,18,0.92,99
39,61,13,21,0.92,102
46,69,13,28,1.10,61
29,52,11,19,0.96,84
41,79,15,27,0.91,103
33,67,15,36,0.86,64
41,86,19,45,0.99,74
38,67,15,36,0.91,82
33,43,11,25,0.79,80
