PM2.5,PM10,So2,No2,Co,O3
14,34,6,11,0.51,85
16,29,8,9,0.52,68
5,12,11,9,0.37,45
8,20,8,13,0.53,60
13,30,7,18,0.55,71
15,33,7,15,0.57,60
21,39,6,11,0.56,94
21,39,7,11,0.62,83
20,40,5,10,0.61,105
33,57,7,15,0.83,101
22,36,5,9,0.61,73
16,36,6,12,0.63,100
8,19,9,11,0.49,55
16,36,5,13,0.59,75
16,36,5,16,0.66,72
22,50,6,14,0.61,91
28,63,6,16,0.72,110
29,59,13,14,0.90,104
23,50,7,13,0.72,68
19,38,7,12,0.56,101
24,40,10,14,0.66,103
22,38,8,14,0.60,92
28,44,11,16,0.68,86
29,43,9,13,0.63,82
33,45,8,13,0.70,65
38,46,6,12,0.70,83
36,47,6,10,0.60,99
38,47,6,10,0.63,75
10,17,6,9,0.59,53
18,30,7,16,0.60,50
18,38,5,21,0.58,53
18,34,7,17,0.74,54
13,21,7,11,0.75,69
25,39,7,17,0.74,70
34,57,12,19,0.82,88
43,58,16,16,0.83,118
24,45,9,13,0.59,108
17,32,7,15,0.53,67
20,35,8,13,0.56,81
28,46,6,15,0.54,87
35,51,6,19,0.57,93
39,66,7,33,0.61,92
30,62,7,16,0.56,109
26,48,6,18,0.52,91
37,56,9,18,0.63,108
39,52,11,14,0.63,120
39,50,7,13,0.62,124
55,66,8,29,0.71,118
58,68,12,24,0.82,120
86,82,12,16,1.03,139
69,47,5,19,0.82,91
35,54,6,16,0.59,79
30,45,11,22,0.65,78
46,54,10,22,0.67,98
59,55,11,21,0.74,102
62,56,7,28,0.73,55
43,37,6,20,0.59,50
41,38,5,15,0.62,79
59,51,7,15,0.65,101
58,53,7,18,0.65,78
28,43,10,18,0.54,78
44,45,7,23,0.67,63
43,42,6,23,0.65,46
38,35,5,18,0.63,55
45,43,7,28,0.65,59
39,47,6,28,0.73,62
41,58,8,35,0.82,40
25,49,7,19,0.63,58
28,71,7,37,0.60,53
37,72,10,36,0.58,66
40,73,11,40,0.63,69
39,71,9,43,0.66,63
61,89,12,28,0.80,90
46,69,11,20,0.71,92
33,49,9,20,0.65,72
34,52,8,29,0.63,63
36,54,9,28,0.69,57
40,54,7,20,0.77,44
12,18,5,14,0.72,36
7,12,6,12,0.66,40
17,23,5,17,0.71,42
23,38,6,28,0.68,53
32,48,8,43,0.74,36
37,43,5,21,0.66,59
26,35,5,14,0.61,61
27,41,6,18,0.62,64
39,54,9,25,0.73,59
37,52,5,22,0.74,43
23,31,5,14,0.53,62
21,34,5,19,0.67,40
9,16,7,14,0.56,44
21,29,6,16,0.63,60
26,38,5,29,0.81,41
46,57,5,17,0.83,68
86,106,7,21,0.82,76
58,78,7,36,0.82,62
45,67,8,34,0.83,68
53,81,8,48,0.92,54
55,85,7,49,0.99,48
52,78,7,40,0.95,54
54,80,7,43,0.92,55
51,80,8,44,0.85,58
107,141,6,39,1.43,44
112,164,5,28,1.31,54
73,109,5,40,1.36,34
43,52,5,23,1.16,36
17,32,6,19,0.99,38
22,42,5,19,0.63,39
8,14,8,13,0.50,45
22,31,7,14,0.57,53
28,41,9,21,0.47,41
42,54,10,26,0.55,35
18,24,9,28,0.61,31
32,34,9,23,0.71,34
124,131,11,26,0.96,53
108,116,11,31,1.07,63
89,92,13,36,0.99,44
65,73,8,36,0.89,33
94,102,8,30,0.90,48
70,86,9,34,0.77,63
61,74,10,30,0.78,64
59,91,9,56,0.89,31
41,43,5,34,0.75,45
57,66,7,39,0.88,39
34,46,7,13,0.58,52
24,51,9,20,0.53,48
37,49,9,21,0.63,42
45,46,7,22,0.77,43
