PM2.5,PM10,So2,No2,Co,O3
25,41,8,11,0.75,71
23,39,8,13,0.79,64
15,25,5,8,0.66,70
16,28,5,9,0.65,59
20,36,9,11,0.75,73
19,36,7,11,0.79,80
19,38,9,10,0.81,73
15,26,5,10,0.74,69
22,40,8,12,0.83,71
31,51,9,12,0.87,102
40,65,11,15,0.91,109
33,59,8,11,0.69,121
28,46,9,7,0.65,106
13,26,7,9,0.64,82
11,28,6,9,0.52,89
17,36,10,12,0.54,59
16,31,9,11,0.56,82
8,19,5,10,0.52,38
9,24,5,8,0.46,51
13,32,9,12,0.56,64
20,41,12,16,0.65,71
23,40,9,15,0.69,71
24,42,11,15,0.68,62
35,57,11,21,0.79,46
42,67,11,26,0.80,47
29,40,5,16,0.69,38
7,12,4,11,0.58,48
5,11,5,11,0.55,46
12,24,6,17,0.68,26
13,21,7,19,0.86,32
9,17,6,14,0.86,31
4,9,3,11,0.68,39
9,23,4,10,0.52,53
16,38,10,13,0.63,40
19,45,8,13,0.62,49
29,59,10,13,0.71,127
21,34,9,14,0.76,102
5,10,8,8,0.57,86
15,29,7,18,0.63,37
13,30,5,12,0.52,47
20,53,7,16,0.55,40
28,60,16,22,0.70,28
18,46,8,17,0.58,40
18,42,12,17,0.58,41
20,43,11,17,0.57,46
24,45,10,16,0.53,47
24,44,9,15,0.53,55
38,58,10,21,0.65,48
33,47,7,16,0.63,35
28,41,6,17,0.62,40
28,47,7,15,0.62,49
19,45,9,18,0.54,44
20,45,10,18,0.57,40
25,52,13,23,0.60,52
38,61,11,24,0.68,55
35,52,10,18,0.69,70
28,45,8,16,0.63,69
26,43,11,17,0.61,54
35,48,10,15,0.60,72
59,69,16,20,0.78,100
25,41,15,18,0.60,77
22,41,13,23,0.60,44
25,40,9,24,0.65,25
21,35,10,20,0.71,29
26,45,11,24,0.74,20
34,61,13,25,0.76,11
32,56,10,23,0.76,16
26,53,10,23,0.65,26
27,67,14,26,0.64,23
33,65,9,28,0.74,19
33,71,12,28,0.81,29
28,62,17,30,0.78,26
29,59,11,30,0.75,27
31,64,13,29,0.71,40
42,75,14,31,0.82,70
38,66,10,29,0.73,71
47,71,14,32,0.76,43
19,32,8,20,0.57,30
9,16,13,16,0.60,21
12,16,7,15,0.61,26
17,28,5,15,0.61,36
30,47,17,24,0.69,17
32,50,14,26,0.85,9
26,41,9,23,0.89,23
31,49,8,27,0.91,15
