PM2.5,PM10,So2,No2,Co,O3
45,80,3,24,0.82,95
33,90,3,23,0.63,72
23,55,3,22,0.59,69
20,47,3,21,0.55,76
34,70,4,27,0.67,106
38,71,4,25,0.73,108
33,56,4,21,0.68,99
11,23,3,16,0.47,91
18,37,3,20,0.55,88
33,58,4,29,0.76,80
36,66,4,25,0.74,114
48,79,4,25,0.83,125
54,94,4,24,0.92,114
8,20,3,22,0.47,49
12,36,3,20,0.38,81
18,47,4,27,0.51,51
10,20,3,23,0.46,57
18,57,4,24,0.47,41
16,51,4,27,0.43,49
15,41,4,26,0.46,58
24,46,5,32,0.60,54
20,35,4,24,0.60,54
14,40,4,29,0.54,55
22,46,5,29,0.57,53
33,52,4,33,0.65,44
32,57,3,28,0.63,53
12,35,3,20,0.42,42
10,22,4,21,0.39,36
20,36,4,30,0.50,25
12,23,4,25,0.63,25
7,21,4,28,0.77,22
14,37,4,22,0.64,29
18,45,4,27,0.52,51
25,61,5,33,0.58,62
33,72,7,38,0.77,58
37,72,6,40,0.95,46
30,46,4,28,0.81,43
18,27,4,24,0.81,37
24,47,4,35,0.80,16
23,82,4,29,0.51,27
24,69,6,31,0.57,31
19,55,6,37,0.54,35
16,44,6,32,0.51,43
18,47,5,33,0.50,52
26,56,5,37,0.55,55
28,61,6,41,0.60,53
38,71,6,45,0.70,46
23,61,5,33,0.53,35
28,63,5,37,0.60,26
32,66,5,38,0.66,27
15,49,6,33,0.50,37
17,51,8,37,0.56,40
36,74,10,50,0.69,34
61,104,8,56,0.80,33
57,91,6,54,0.86,25
53,66,5,36,0.83,41
35,52,4,34,0.69,37
52,79,6,45,0.77,23
88,132,6,47,0.90,27
79,123,5,47,0.85,32
54,76,5,40,0.66,40
46,58,4,34,0.56,29
49,64,4,39,0.67,20
33,82,5,32,0.68,20
36,100,8,41,0.60,29
48,102,9,44,0.73,35
28,103,5,40,0.54,38
26,85,5,38,0.46,35
30,79,6,43,0.58,32
26,68,7,42,0.60,32
23,63,7,40,0.60,36
26,79,8,47,0.64,30
30,90,6,49,0.61,31
43,103,7,53,0.67,36
85,132,8,58,0.94,63
75,131,8,71,1.05,18
20,54,4,31,0.46,32
18,30,4,28,0.49,25
22,27,4,28,0.54,28
34,53,4,39,0.66,17
45,73,6,39,0.76,25
49,86,7,43,0.72,28
58,104,5,46,0.75,15
41,62,5,34,0.62,24
78,104,5,41,0.79,15
115,149,6,49,1.05,7
102,161,5,49,1.06,11
30,73,5,34,0.52,24
27,47,4,29,0.52,23
25,36,5,29,0.61,23
