PM2.5,PM10,So2,No2,Co,O3
14,29,7,9,0.82,85
14,28,7,11,0.90,72
13,42,10,9,0.76,138
24,31,7,10,0.89,62
10,9,6,6,0.66,44
15,33,6,13,0.70,63
27,57,9,14,0.97,140
31,58,13,15,1.02,107
16,46,13,19,0.95,113
37,73,9,26,0.95,153
37,72,13,18,1.06,181
39,69,13,15,0.92,154
24,48,11,13,1.03,94
38,74,8,23,0.91,100
16,82,10,25,0.69,107
14,51,21,28,0.67,83
29,71,14,33,0.82,79
18,70,12,17,0.78,108
10,45,14,26,0.68,61
29,75,18,44,1.09,81
37,78,17,33,0.90,101
31,66,14,27,0.87,92
25,60,12,27,0.73,89
33,76,13,27,0.77,124
39,69,11,27,0.79,74
19,38,9,22,0.74,75
32,60,10,29,0.93,56
18,54,13,31,0.82,26
27,66,18,38,0.88,37
38,61,16,34,0.93,46
26,23,8,19,1.16,50
30,57,13,29,1.12,58
42,115,12,37,1.66,80
21,76,23,42,0.86,64
30,69,18,40,0.78,74
25,56,16,33,0.78,71
30,44,15,30,0.98,45
24,42,11,23,0.85,89
51,83,15,37,0.92,95
45,87,13,30,0.98,74
34,103,16,43,0.94,71
16,60,16,36,0.87,52
17,60,18,41,0.92,55
39,90,22,59,0.98,58
65,120,22,61,1.11,68
60,106,20,48,0.94,99
72,114,21,56,1.06,109
105,157,24,64,1.33,92
47,113,22,48,1.06,53
92,163,24,54,1.32,80
54,131,15,36,0.94,57
31,95,18,44,0.73,54
49,96,22,53,0.86,52
61,110,18,50,0.86,81
55,95,17,40,0.81,96
60,87,16,38,0.88,96
72,92,15,39,0.95,60
94,112,16,43,1.08,53
62,60,12,32,1.08,64
35,64,22,41,0.91,66
55,88,26,58,1.33,57
73,111,20,59,1.23,54
63,92,24,50,1.12,40
105,128,18,44,1.46,52
33,95,15,32,0.96,65
62,127,30,46,1.02,71
102,148,20,44,1.26,69
20,86,18,39,0.86,38
29,85,20,40,0.83,42
25,80,20,48,1.00,43
31,73,25,39,0.94,54
41,76,27,50,0.90,47
75,110,33,59,0.99,58
86,123,22,54,1.02,60
81,112,21,39,0.91,97
76,98,16,34,0.90,87
101,127,18,38,1.05,66
43,42,8,28,1.04,21
36,46,11,31,0.85,23
40,65,19,43,0.85,20
49,47,11,25,0.76,41
57,80,15,33,0.95,34
97,121,18,52,1.37,16
61,61,13,37,1.07,33
118,149,11,50,1.72,32
137,136,10,54,1.47,43
114,131,11,41,1.09,53
150,168,15,49,1.18,31
47,46,10,32,0.89,23
49,55,10,33,0.85,26
66,97,15,46,1.30,10
64,88,14,41,0.92,39
83,91,10,37,0.93,39
109,133,17,52,1.28,27
74,112,14,46,0.94,36
103,128,15,44,1.03,46
170,207,23,77,1.93,22
221,249,19,62,1.64,46
191,216,12,56,1.49,56
213,382,19,67,1.84,26
161,380,25,64,1.72,9
115,269,28,56,1.46,15
148,313,22,57,1.56,12
207,324,25,64,2.16,8
213,101,11,55,2.37,7
135,238,13,39,1.73,28
54,197,15,38,0.79,29
57,109,13,43,0.93,17
53,85,8,32,0.82,25
21,51,11,31,0.57,38
38,67,17,39,0.80,29
53,89,19,46,0.84,30
117,151,19,58,1.11,24
122,145,21,56,1.34,26
127,167,22,56,1.49,27
110,138,16,48,1.24,29
100,127,25,54,1.31,35
116,133,24,43,1.34,34
126,179,17,55,1.67,24
72,139,24,50,1.35,42
89,144,24,69,1.42,27
233,264,30,91,2.19,14
244,285,44,99,2.90,10
216,262,34,80,2.61,26
33,62,15,29,0.85,42
61,104,20,64,1.29,25
70,89,31,54,1.38,27
66,91,28,55,1.28,26
