PM2.5,PM10,So2,No2,Co,O3
26,49,11,16,1.07,46
17,33,7,15,0.93,38
15,41,8,16,0.97,50
27,51,11,17,1.04,58
29,50,13,16,1.02,57
52,83,23,20,1.16,77
40,64,17,18,1.03,74
29,51,15,16,1.02,73
16,30,7,9,0.85,64
23,40,6,11,0.96,65
32,52,13,20,1.16,66
16,30,7,12,0.95,52
12,26,13,13,0.89,45
16,30,10,13,0.85,39
14,27,12,12,0.80,48
26,51,19,16,0.95,43
23,47,18,16,0.96,49
32,58,18,17,0.97,58
17,34,7,14,0.87,38
16,42,9,15,0.85,45
20,44,9,18,0.89,50
30,54,12,19,1.00,61
43,68,17,19,1.13,58
51,81,16,22,1.13,50
39,59,8,15,1.05,60
30,45,11,14,1.02,68
25,39,6,13,0.97,31
20,37,6,12,0.91,42
14,19,6,7,0.96,47
10,19,9,10,1.02,35
15,29,10,13,0.99,23
17,40,13,13,0.90,35
23,46,20,15,0.88,48
28,54,16,17,0.89,42
29,52,11,17,0.83,49
45,65,17,13,0.97,57
36,57,22,14,0.97,49
26,45,21,16,0.92,43
8,16,11,12,1.03,34
12,28,14,16,1.03,31
16,35,10,17,0.99,38
17,41,9,19,0.95,45
26,52,12,19,0.98,55
29,57,10,19,0.97,62
29,55,10,18,0.93,53
29,51,7,15,0.61,50
30,49,7,15,0.63,46
34,61,12,22,0.73,54
45,79,18,27,0.84,70
64,102,24,25,1.04,83
54,76,20,25,1.03,33
15,21,7,11,0.66,35
28,47,7,14,0.76,41
40,62,13,22,0.90,44
45,70,13,25,0.99,42
69,101,21,30,1.25,39
14,27,13,16,0.94,25
13,33,13,20,0.90,30
20,35,14,18,0.84,39
25,42,15,18,0.81,38
24,40,15,16,0.81,39
30,52,20,20,0.95,35
31,54,18,20,0.90,31
20,36,20,19,0.84,22
9,12,12,18,0.82,26
11,18,10,16,0.83,20
35,64,17,23,1.06,22
30,43,8,20,0.85,14
27,54,7,20,0.78,27
26,55,6,21,0.67,29
22,44,5,14,0.53,37
29,45,5,14,0.57,37
25,47,6,16,0.56,50
26,48,5,23,0.52,37
23,60,6,25,0.43,48
37,70,10,29,0.70,53
61,91,13,26,0.86,73
59,92,18,24,0.90,59
52,79,12,25,0.91,39
24,46,6,16,0.70,26
8,18,5,15,0.62,33
20,43,18,23,0.82,31
41,67,16,25,1.00,41
51,79,20,28,0.97,19
23,40,14,19,0.78,21
14,28,11,12,0.74,29
37,61,23,20,0.89,36
51,91,20,30,1.03,19
18,26,9,15,0.80,16
8,18,7,12,0.84,16
15,28,12,16,0.94,12
11,26,8,12,0.72,20
15,24,10,14,0.81,17
13,22,8,16,0.84,10
18,36,6,17,0.67,27
31,62,12,25,0.79,28
55,82,14,30,0.95,23
49,75,8,27,0.93,29
50,61,8,26,0.89,30
44,69,9,26,0.90,30
45,67,8,26,0.84,34
62,93,19,29,1.11,36
64,89,18,25,1.01,42
64,94,20,26,1.05,29
55,97,17,32,0.91,24
39,68,17,27,0.79,23
34,62,15,23,0.68,30
36,63,20,21,0.75,34
32,59,16,20,0.76,25
8,14,5,9,0.75,18
7,13,7,12,0.91,12
9,16,9,12,0.99,10
8,14,12,11,1.10,9
11,21,7,13,0.77,17
23,28,9,15,0.60,30
38,52,17,19,0.80,26
45,62,22,21,0.92,28
35,45,22,19,1.01,22
26,32,5,20,0.98,20
35,56,4,25,1.07,35
52,70,12,29,0.88,30
56,78,13,28,0.99,34
68,99,16,34,1.14,30
59,87,17,26,0.98,34
11,21,6,15,1.05,16
8,14,5,14,0.88,15
14,18,7,16,0.83,23
34,42,15,18,0.93,30
