PM2.5,PM10,So2,No2,Co,O3
17,34,11,27,1.55,45
18,41,12,26,1.16,76
24,52,8,23,1.07,75
16,40,8,21,0.85,72
22,46,8,23,1.02,85
15,26,6,25,1.02,47
19,35,13,25,1.16,74
36,75,18,40,1.89,48
38,74,20,42,1.57,35
14,27,11,25,1.03,82
48,77,9,31,1.53,107
22,43,8,28,1.26,51
27,54,12,30,1.02,70
15,31,5,17,0.78,70
21,37,6,25,1.06,81
17,39,17,29,1.67,41
16,40,19,28,1.30,53
17,38,7,25,0.95,57
15,30,16,27,1.54,41
13,32,13,24,0.97,41
17,47,12,31,0.99,46
21,53,12,32,1.10,59
14,36,5,16,0.71,67
12,27,5,11,0.67,80
22,42,6,17,0.82,93
23,55,9,28,0.99,63
21,43,8,22,0.87,39
21,49,18,30,1.24,39
29,65,15,33,1.44,49
22,53,13,30,1.17,84
36,78,10,29,1.15,90
50,91,11,31,1.59,81
39,73,10,25,1.26,73
13,44,13,22,1.15,36
13,31,9,19,0.90,35
20,42,11,26,1.37,31
23,50,13,31,1.11,38
25,62,12,34,1.15,42
29,63,15,33,1.17,56
14,32,7,14,0.64,65
33,55,6,25,1.15,35
43,62,12,32,2.04,24
17,31,10,24,1.23,31
22,43,13,30,1.27,35
25,53,10,26,1.04,71
29,55,8,30,1.00,66
24,51,6,29,0.83,61
27,69,11,28,1.19,36
20,51,14,27,1.10,36
24,57,12,32,1.20,39
32,64,20,32,1.00,29
22,48,10,28,1.04,21
28,58,11,32,1.31,26
21,46,11,29,0.97,47
29,56,10,26,0.90,73
66,111,13,31,1.20,97
38,79,16,42,1.22,26
33,78,21,38,1.14,28
41,84,25,42,1.06,26
48,94,25,48,1.07,29
65,137,31,67,2.51,28
59,109,19,45,1.42,56
71,111,15,29,1.29,108
53,78,12,22,0.93,100
25,44,10,27,0.98,49
27,68,12,26,0.87,66
46,88,8,21,0.77,95
13,39,9,20,0.96,44
12,51,12,20,0.89,40
18,38,14,27,1.18,33
14,40,15,23,1.05,26
21,49,16,29,1.14,23
38,76,25,41,1.54,19
40,77,22,47,1.40,22
47,91,21,40,1.31,52
58,94,14,27,0.99,100
45,77,12,28,1.00,38
28,50,20,36,0.94,18
48,79,25,44,1.16,19
79,127,33,59,1.51,18
131,200,24,72,2.64,7
73,112,28,56,1.97,16
27,58,17,37,1.20,25
28,62,21,42,1.47,20
64,107,31,56,2.10,19
64,111,24,53,1.70,23
67,112,22,42,1.69,47
53,83,15,25,1.09,47
20,44,18,31,0.87,32
26,53,18,38,1.14,26
33,63,18,38,1.21,31
45,86,27,47,1.63,19
36,68,19,31,1.26,35
27,51,19,33,1.17,28
27,53,20,31,1.14,31
20,43,14,24,0.91,40
36,56,14,30,1.18,36
99,139,22,46,2.59,26
108,152,18,29,1.46,74
37,125,18,30,1.06,44
18,65,16,32,0.70,31
35,80,26,45,1.13,20
34,80,17,29,1.09,35
32,68,20,31,1.00,36
22,42,13,20,0.69,58
49,159,13,23,0.96,37
18,45,14,21,0.71,36
26,57,18,30,1.20,28
24,69,15,23,0.92,34
22,50,18,26,1.16,32
26,50,25,32,1.17,33
25,45,19,32,1.15,38
42,60,25,40,1.32,31
101,143,47,58,1.97,16
43,68,25,40,1.55,27
27,52,23,29,1.15,35
43,78,27,42,1.57,25
46,74,15,23,0.82,50
99,139,32,49,1.86,30
45,77,38,46,1.50,30
32,60,31,37,1.26,34
32,61,28,37,1.14,34
42,76,35,47,1.61,24
45,66,12,30,0.99,42
24,87,23,29,1.23,32
23,63,19,29,1.22,37
41,74,23,42,1.40,23
70,110,24,48,1.68,22
