PM2.5,PM10,So2,No2,Co,O3
23,37,3,14,0.68,71
24,37,3,18,0.76,82
20,33,3,17,0.70,68
19,33,3,17,0.65,61
25,42,4,18,0.70,75
26,43,3,20,0.71,79
27,41,3,15,0.64,93
12,21,2,13,0.57,76
18,32,3,16,0.59,86
33,48,2,18,0.69,90
28,43,3,20,0.62,104
31,49,3,18,0.71,70
31,47,3,17,0.72,80
13,24,4,12,0.60,84
12,19,3,14,0.64,48
17,27,3,17,0.65,46
14,25,3,14,0.63,43
5,13,4,13,0.44,78
19,34,4,17,0.52,44
25,43,3,17,0.54,41
23,44,4,17,0.45,47
16,25,3,14,0.42,65
26,38,3,18,0.51,59
32,42,3,21,0.61,48
15,23,3,15,0.57,48
14,22,3,17,0.71,26
8,15,3,15,0.79,26
7,7,3,13,0.67,29
8,15,3,13,0.80,18
8,12,3,15,0.77,22
12,22,3,16,0.84,27
8,16,3,15,0.59,33
9,17,3,13,0.52,37
12,32,3,16,0.66,34
21,47,4,17,0.65,46
19,32,3,12,0.52,44
5,12,3,12,0.57,54
6,16,3,15,0.62,52
6,15,5,15,0.57,42
10,28,3,17,0.50,32
21,46,3,20,0.52,40
43,70,3,26,0.68,30
26,48,3,24,0.53,46
37,58,3,20,0.55,31
43,60,3,21,0.56,28
31,45,3,18,0.51,38
42,61,3,20,0.57,43
74,95,4,24,0.77,10
25,33,3,16,0.57,31
16,25,3,18,0.55,52
19,37,3,22,0.58,30
23,45,2,19,0.51,38
35,62,3,26,0.58,35
36,64,3,24,0.61,24
30,46,3,15,0.44,46
27,39,2,21,0.51,42
30,43,3,29,0.65,35
40,60,3,28,0.64,29
46,65,3,26,0.69,27
30,45,2,20,0.62,32
11,16,2,10,0.62,57
7,13,2,14,0.61,34
12,23,2,17,0.63,16
19,35,3,19,0.66,21
21,35,3,16,0.62,25
16,31,3,15,0.56,22
15,32,3,19,0.67,22
24,62,4,26,0.58,28
38,83,4,28,0.60,22
38,72,3,21,0.62,30
45,79,3,21,0.71,37
58,90,3,23,0.82,41
67,95,3,26,0.86,32
52,77,3,26,0.76,41
35,60,4,27,0.63,45
31,58,4,30,0.57,50
47,81,4,35,0.71,30
10,20,2,15,0.48,39
4,10,2,13,0.46,32
7,12,3,14,0.55,32
17,31,3,15,0.56,28
26,45,3,22,0.64,11
38,61,3,22,0.78,4
39,52,3,18,0.78,5
26,37,3,17,0.70,11
21,37,3,18,0.71,13
24,44,3,22,0.76,10
24,38,2,17,0.77,12
4,7,2,14,0.74,22
4,5,2,11,0.69,29
8,15,2,12,0.50,47
15,30,2,19,0.68,20
26,45,3,23,0.74,6
27,56,4,23,0.54,30
40,64,3,24,0.62,11
42,68,3,22,0.64,18
45,71,4,27,0.74,8
50,72,3,23,0.66,13
37,59,3,23,0.61,22
53,77,3,25,0.77,8
39,75,3,23,0.70,17
42,70,3,23,0.89,7
39,60,3,21,0.98,2
24,36,3,21,0.85,8
24,40,2,19,0.84,9
20,43,2,20,0.73,20
34,95,2,16,0.57,28
17,43,2,14,0.67,18
28,76,2,14,0.51,32
23,43,2,12,0.57,34
22,29,2,11,0.68,32
20,31,3,14,0.65,27
30,49,3,22,0.78,9
35,56,3,20,0.72,22
44,69,3,26,0.71,15
58,86,3,28,0.72,14
67,97,3,27,0.75,11
68,96,3,27,0.77,11
83,107,2,26,0.83,18
83,109,3,31,0.97,21
93,119,3,34,1.00,14
135,161,3,34,1.26,5
111,133,3,28,1.08,14
94,115,3,28,1.14,5
25,28,2,15,0.76,36
45,53,2,21,0.84,28
52,65,2,19,0.81,24
57,70,3,24,0.91,17
