PM2.5,PM10,So2,No2,Co,O3
21,50,49,20,1.22,74
25,86,10,7,0.72,98
9,31,9,8,0.63,96
18,57,82,20,1.09,87
30,77,67,21,1.08,84
29,66,41,27,1.03,77
24,67,53,16,1.05,83
13,16,12,7,0.79,111
19,45,27,23,0.94,99
20,52,71,24,1.23,86
15,32,26,13,0.82,110
40,60,81,17,1.08,89
34,84,22,14,1.08,91
18,30,12,15,1.08,67
12,44,30,20,0.74,70
15,45,17,24,0.65,81
19,51,86,25,1.16,64
16,38,14,20,0.72,77
13,46,13,16,0.55,65
13,45,53,22,0.69,59
18,57,76,28,0.90,57
14,36,26,19,0.76,67
23,50,7,32,0.94,48
23,57,99,27,1.02,51
22,58,65,27,0.90,64
18,39,18,35,0.74,49
13,55,9,11,0.52,80
9,16,14,18,0.61,54
28,15,15,20,0.77,56
12,22,56,16,0.95,61
17,29,36,21,0.95,55
17,37,15,28,1.01,56
23,65,40,23,0.97,63
22,75,33,22,0.75,75
23,65,76,29,1.00,68
22,62,78,27,0.97,67
16,37,61,17,0.98,53
15,30,41,16,1.00,62
20,42,53,27,0.97,60
16,52,20,12,0.60,75
21,69,28,34,1.14,41
22,68,49,32,0.92,53
18,54,25,28,0.78,53
19,38,28,20,0.90,71
16,42,61,20,0.90,68
21,52,43,25,0.96,70
22,49,67,28,1.04,54
16,47,37,10,0.54,77
17,55,25,15,0.59,67
22,57,33,23,0.83,66
18,61,11,17,0.60,75
17,56,23,26,0.70,55
19,60,98,32,1.01,57
23,67,44,42,0.89,58
27,62,51,26,0.88,61
26,49,51,30,0.98,37
24,60,34,35,1.15,40
30,67,42,39,1.15,56
39,65,42,32,1.05,58
20,48,52,26,1.25,44
17,39,56,22,0.95,41
9,18,26,13,0.78,59
20,40,63,26,0.94,38
40,122,35,23,0.93,44
57,161,22,26,0.69,59
63,164,35,39,1.03,38
44,113,60,30,1.05,46
21,94,29,15,0.61,74
22,75,15,33,0.76,46
18,49,26,26,0.75,56
18,51,29,33,0.84,53
19,60,26,38,0.93,47
22,74,46,40,0.92,47
27,79,51,41,1.02,44
39,92,99,48,1.49,40
39,91,51,23,0.96,60
13,51,9,8,0.43,68
21,42,18,21,0.64,46
26,39,32,27,0.81,36
35,58,44,22,0.81,41
33,45,15,20,0.75,54
51,84,64,37,1.20,36
26,67,41,25,0.86,52
19,51,16,21,0.62,66
52,90,22,39,1.37,37
93,123,39,54,1.61,37
75,96,91,43,1.26,43
30,125,30,18,0.56,62
14,48,42,13,0.45,63
24,54,64,24,0.66,45
31,49,24,29,0.91,36
51,78,40,43,1.16,38
80,115,88,46,1.62,42
22,49,21,21,0.61,66
24,54,28,28,0.86,48
61,105,71,49,1.46,30
82,130,145,52,1.79,31
47,88,71,46,1.38,40
69,206,58,49,1.51,38
180,965,21,19,0.86,52
202,714,47,37,1.36,21
163,589,102,49,1.95,27
118,304,143,55,1.93,28
41,102,34,36,1.06,50
58,108,53,50,1.49,32
97,479,38,17,0.94,58
79,259,51,21,0.93,54
55,171,72,22,0.88,48
34,124,37,15,0.71,61
19,67,41,9,0.65,64
16,45,50,19,0.81,48
26,56,111,21,0.98,37
59,82,54,30,1.45,26
40,83,44,20,1.10,47
34,106,39,26,1.02,46
84,151,136,41,1.59,30
61,101,53,36,1.23,40
59,89,144,30,1.69,38
43,71,31,34,1.18,38
62,92,57,47,1.70,35
61,92,83,42,1.73,35
65,99,114,55,1.88,27
49,76,61,53,1.50,35
39,78,71,36,1.25,50
31,70,123,42,1.36,40
23,64,27,20,0.81,42
49,87,86,39,1.37,28
83,112,152,40,1.84,34
63,86,53,44,1.40,39
