PM2.5,PM10,So2,No2,Co,O3
16,21,5,11,0.70,73
11,20,5,15,0.74,51
9,18,5,16,0.69,44
16,25,7,14,0.76,47
27,38,7,18,0.86,65
39,53,8,21,1.03,121
59,70,7,24,1.04,160
32,46,9,21,0.90,140
36,52,7,15,0.87,113
43,68,12,22,0.89,175
36,41,7,24,1.08,67
7,10,4,9,0.63,54
16,32,4,8,0.61,45
9,16,4,8,0.57,41
12,21,5,9,0.61,40
24,34,6,10,0.60,67
27,38,6,13,0.72,71
18,29,3,14,0.65,63
28,43,5,22,0.75,86
26,44,7,30,0.89,64
40,59,9,24,0.85,98
33,46,6,28,0.85,55
39,59,8,30,0.88,91
33,49,9,30,0.74,75
16,24,4,17,0.55,46
27,42,6,23,0.66,85
24,38,6,15,0.69,70
10,24,4,4,0.54,47
8,16,3,2,0.44,51
8,17,4,9,0.50,30
27,44,7,26,0.81,71
32,46,6,15,0.74,84
17,29,7,11,0.71,68
21,31,5,14,0.51,60
16,22,4,12,0.50,22
19,24,3,12,0.62,49
16,30,4,14,0.59,80
23,40,4,10,0.64,82
33,44,4,15,0.76,88
30,48,5,25,0.77,57
29,45,6,21,0.67,88
37,54,8,30,0.69,102
44,65,9,35,0.78,94
39,61,8,19,0.72,119
40,63,9,23,0.73,117
39,61,9,23,0.69,119
37,59,10,24,0.68,129
42,61,13,36,0.69,125
56,70,9,33,0.74,113
44,61,5,16,0.64,112
36,54,6,15,0.59,90
51,70,5,30,0.77,52
19,32,7,30,0.78,51
42,56,12,32,0.76,77
33,49,8,36,0.69,63
21,34,4,16,0.52,61
20,30,4,11,0.48,59
26,34,7,39,0.94,19
20,26,6,36,0.89,7
26,35,5,31,0.70,23
30,48,7,31,0.62,50
25,38,8,24,0.49,66
24,35,6,15,0.49,74
21,33,6,20,0.52,49
36,51,10,45,0.90,45
41,63,12,51,0.99,36
36,58,8,33,0.78,65
55,72,9,42,0.80,51
22,52,13,37,0.68,90
27,60,16,49,0.59,71
34,64,12,58,0.66,69
29,58,11,49,0.51,67
27,54,12,33,0.44,94
33,58,12,28,0.45,98
58,79,6,31,0.62,79
23,40,7,37,0.60,32
38,56,8,47,0.75,21
37,63,7,43,0.82,55
18,36,5,28,0.51,53
43,61,7,36,0.59,66
41,67,11,48,0.89,42
35,57,15,51,0.82,68
33,47,6,34,0.65,40
31,46,7,38,0.66,39
50,69,10,49,0.80,77
30,48,10,37,0.72,53
21,36,6,25,0.54,65
21,39,6,23,0.54,63
24,42,8,39,0.69,24
29,54,6,35,0.97,2
52,108,11,59,1.16,18
13,30,9,33,0.92,27
36,64,15,60,0.99,8
45,75,9,69,1.05,27
14,32,7,24,0.72,47
45,64,9,44,0.77,59
62,88,11,61,0.93,61
49,67,11,56,0.82,24
34,44,7,36,0.77,48
47,64,11,50,0.86,25
49,69,11,58,0.86,19
44,67,12,49,0.83,50
28,47,7,42,0.54,49
35,52,7,43,0.57,43
37,58,8,36,0.69,42
21,42,6,23,0.50,37
23,45,6,36,0.71,29
30,51,8,44,0.88,25
23,41,4,36,0.80,34
19,43,6,34,1.12,3
11,27,6,24,0.83,5
13,21,5,22,0.79,3
20,31,6,31,0.88,4
25,40,7,31,0.96,8
14,23,5,25,0.92,9
29,40,6,34,0.89,11
32,43,6,46,0.87,13
45,60,10,53,0.98,24
41,54,5,43,1.08,15
24,48,9,48,0.81,46
46,69,10,65,0.86,36
41,64,5,54,0.78,35
32,49,4,30,0.60,49
24,38,5,25,0.67,39
23,39,10,31,0.82,27
15,28,8,26,0.67,14
35,51,9,28,0.79,16
33,43,4,30,0.87,13
