PM2.5,PM10,So2,No2,Co,O3
12,27,1,21,0.50,66
12,29,4,20,0.42,100
32,63,2,30,0.63,152
13,23,4,22,0.49,77
20,36,2,27,0.73,51
22,38,4,20,0.70,87
12,32,1,24,0.43,84
17,47,4,39,0.63,43
15,40,2,27,0.58,86
34,74,3,24,0.72,136
59,83,5,29,1.02,147
6,24,1,19,0.41,91
14,30,2,21,0.51,119
40,33,2,16,0.73,96
16,15,6,14,0.41,59
6,18,1,21,0.34,51
10,30,3,28,0.41,65
7,35,2,17,0.34,55
4,17,2,14,0.30,48
6,22,2,24,0.33,46
22,54,4,38,0.52,61
41,72,5,49,0.89,65
43,72,5,38,0.76,71
42,47,3,36,0.72,88
79,100,4,47,0.93,91
97,114,3,48,1.04,86
17,25,1,19,0.38,51
6,24,2,28,0.34,49
11,42,2,44,0.42,30
18,52,2,45,0.53,32
25,58,7,50,0.68,23
41,67,2,46,0.72,57
16,45,2,26,0.36,39
5,26,1,16,0.25,48
5,27,2,19,0.26,39
6,21,2,23,0.31,40
21,48,3,29,0.60,61
32,54,2,38,0.62,49
62,80,4,56,0.89,33
52,22,2,34,0.75,37
6,13,4,21,0.32,37
5,18,2,19,0.30,37
7,19,3,17,0.30,59
10,27,2,31,0.40,45
11,32,3,38,0.44,44
41,70,7,51,0.96,69
78,94,7,52,1.20,66
9,22,2,17,0.30,54
9,34,2,35,0.34,34
9,34,2,33,0.36,42
3,14,2,12,0.22,43
5,22,2,23,0.30,31
9,29,2,32,0.32,33
33,71,3,54,0.56,33
80,103,6,69,0.97,44
136,147,4,73,1.22,52
152,122,4,67,1.41,33
60,21,2,34,0.86,45
32,38,2,39,0.65,28
28,48,2,49,0.57,32
41,56,3,54,0.64,40
63,77,4,64,0.82,39
108,118,6,80,1.27,26
121,86,4,58,1.21,33
13,40,2,31,0.36,34
40,88,3,61,0.77,20
80,118,7,72,1.37,16
4,46,2,9,0.21,52
9,31,3,24,0.28,42
4,27,2,9,0.20,65
4,18,2,18,0.25,46
